SOL,TARGET_CCA,TARGET,TARGET_MSL,EASTING_M,NORTHING_M,ELEV_M,LATITUDE,LONGITUDE
130,Richardson_2,Richardson,Richardson_2,8147272.273,-272023.3275,-4521.325137,-4.58919807,137.4494112
133,Gillespie_Lake_1,Gillespie_Lake,GL1_CCAM_pointing,8147269.052,-272017.7098,-4520.127184,-4.589103296,137.4493569
133,Gillespie_Lake_2,Gillespie_Lake,GL2_CCAM_Pointing,8147269.127,-272017.4746,-4520.0872,-4.589099328,137.4493581
133,Rowatt,Rowatt,Rowatt_CCAM_pointing,8147268.87,-272017.8668,-4520.472877,-4.589105945,137.4493538
135,Pachi,Pachi,Pachi,8147264.001,-272035.429,-4520.981946,-4.58940223,137.4492716
135,Rackla,Rackla,Rackla,8147260.785,-272039.8011,-4520.760806,-4.58947599,137.4492174
135,Rapitan,Rapitan,Rapitan,8147261.44,-272037.4906,-4520.831839,-4.58943701,137.4492284
147,Snake_River,Snake_River,Snake_River,8147260.999,-272043.2622,-4520.560443,-4.589534382,137.449221
149,Bonnet_Plume,Bonnet_Plume,Bonnet_Plume,8147260.447,-272045.0979,-4520.447545,-4.58956535,137.4492117
151,Haig,Haig,Haig,8147260.238,-272045.7111,-4520.304061,-4.589575696,137.4492082
151,Hay_Creek,Hay_Creek,Hay_Creek,8147260.434,-272044.4538,-4520.540317,-4.589554484,137.4492115
151,Hayhook,Hayhook,Hayhook,8147260.654,-272044.8406,-4520.526695,-4.58956101,137.4492152
151,Hudson_Bay,Hudson_Bay,Hudson_Bay,8147260.58,-272045.0431,-4520.495613,-4.589564426,137.4492139
151,Laddie,Laddie,Laddie,8147258.735,-272044.7138,-4520.142297,-4.58955887,137.4491828
